universitas,jurusan,semester_type,nama_mk,sks,semester,kategori
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","BUDAYA RUPA NUSANTARA",3,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","RUPA DASAR",4,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","SEJARAH DESAIN",3,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","SKETSA DESAIN",4,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","Pendidikan Agama  (Wajib memilih salah satu)    -  Agama Budha    -  Agama Hindu    -  Agama Islam    -  Agama Katholik    -  Agama Khonghucu    -  Agama Protestan",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","LITERASI DIGITAL",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PENDIDIKAN JASMANI DAN KEBUGARAN",2,1,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","BAHASA INDONESIA",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","BAHASA INGGRIS",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ESTETIKA",3,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","FOTOGRAFI",4,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PANCASILA",2,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","TIPOGRAFI",4,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","KOMUNIKASI PERIKLANAN",3,2,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DESAIN IDENTITAS/PENANDAAN",5,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","ILUSTRASI",4,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","KEWARGANEGARAAN",2,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","KOMPUTER GRAFIS",4,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","METODE DESAIN",3,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","VIDEOGRAFI",4,3,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","BRANDING",5,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","METODOLOGI PENELITIAN",3,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGEMBANGAN KARIER",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","STATISTIK",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","TEKNOLOGI CETAK",3,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","TINJAUAN VISUAL",4,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","KEWIRAUSAHAAN",2,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","MANAJEMEN DESAIN",3,4,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","ANALISIS DATA MAGANG PRAKTIK INDUSTRI",3,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","ANALISIS DATA PRAKTIK MENGAJAR DI SEKOLAH",3,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","SEMINAR PROPOSAL TUGAS AKHIR",2,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PELAKSANAAN PROGRAM MAGANG PRAKTIK INDUSTRI",5,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PELAKSANAAN PROGRAM PRAKTIK MENGAJAR DI SEKOLAH",5,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PENGUMPULAN DATA MAGANG PRAKTIK INDUSTRI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PENGUMPULAN DATA PRAKTIK MENGAJAR DI SEKOLAH",4,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PENYUSUNAN KONSEP PRAKTIK MENGAJAR DI SEKOLAH",4,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PENYUSUNAN KONSEP PROGRAM MAGANG PRAKTIK INDUSTRI",4,5,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PENELITIAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROGRAM PROYEK KEMANUSIAAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM PENELITIAN",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROGRAM PERTUKARAN PELAJAR",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROGRAM PROYEK DI DESA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROGRAM BELA NEGARA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROGRAM KEWIRAUSAHAAN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROGRAM PERTUKARAN PELAJAR",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROGRAM PROYEK DI DESA",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","ANALISIS DATA PROYEK STUDI INDEPENDEN",3,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM BELA NEGARA",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM KEWIRAUSAHAAN",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM PERTUKARAN PELAJAR",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM PROYEK DI DESA",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM PROYEK KEMANUSIAAN",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PELAKSANAAN PROGRAM PROYEK STUDI INDEPENDEN",5,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PENELITIAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROGRAM BELA NEGARA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROGRAM KEWIRAUSAHAAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROGRAM PROYEK KEMANUSIAAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENGUMPULAN DATA PROYEK STUDI INDEPENDEN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PENELITIAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROGRAM BELA NEGARA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROGRAM KEWIRAUSAHAAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROGRAM PERTUKARAN PELAJAR",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROGRAM PROYEK DI DESA",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROGRAM PROYEK KEMANUSIAAN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","PENYUSUNAN KONSEP PROYEK STUDI INDEPENDEN",4,6,"Pilihan"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","BERPIKIR KRITIS DAN KREATIF",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","COMMUNICATION SKILLS",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DAMPAK SOSIAL DAN KOMUNITAS",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DASAR-DASAR PENGAJARAN DESAIN",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DESAIN INTERAKSI",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DESAIN KEMASAN",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","DESKTOP PUBLISHING",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","MOTION GRAPHICS",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","NATIONAL CONFERENCE",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PERIKLANAN",5,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","SOFTSKILLS",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","3D MODELLING",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","EMPATI DAN KECERDASAN EMOSIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","ENVIRONMENTAL GRAPHIC",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","INFOGRAFIS",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","INTERNASIONAL CONFERENCE",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","KEPEMIMPINAN INKLUSI",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","KOMUNIKASI DAN KERJA TIM",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","MANAJEMEN EVENT REGIONAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","MEDIA PROMOSI",3,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Ganjil","PEMBELAJARAN EMOSI DAN SOSIAL",2,7,"Wajib"
"Universitas Negeri Surabaya","Desain Komunikasi Visual","Genap","TUGAS AKHIR",4,8,"Wajib"